azimuth_rad,altitude_deg,magnitude,colour,direction_offset,relative_az
5.58961893188053,3.34424968182944,2.0744563869492527,-0.038,3.141592653589793,2.4480262782907367
5.834148754490216,30.32825231034868,2.2874599228638246,0.38,3.141592653589793,2.692556100900423
5.734878844703519,30.24602043487305,2.2471889917298005,1.17,3.141592653589793,2.5932861911137257
5.748566123314161,34.87864181272133,2.155897883739671,-0.046,3.141592653589793,2.606973469724368
5.442614202444823,15.218152615396944,2.070577451141202,1.576,3.141592653589793,2.3010215488550294
5.353582544944145,26.737406253850477,2.1016423485030526,1.37,3.141592653589793,2.211989891354352
5.135759574486357,11.940587851262109,2.010158758611305,1.151,3.141592653589793,1.994166920896564
6.2642709412174185,54.97571524017352,1.9777628135162244,0.636,3.141592653589793,3.1226782876276253
5.15271170487557,33.58839102492279,2.0921785421551413,-0.003,3.141592653589793,2.0111190512857773
5.252171690351032,41.77697083200765,1.792079310311509,0.481,3.141592653589793,2.110579036761239
4.537630773851904,27.162576270113245,0.8739474066703282,1.538,3.141592653589793,1.3960381202621104
4.1421900415829285,11.37865717253676,0.182148616328564,-0.03,3.141592653589793,1.0005973879931354
4.873432792050454,54.43548519107627,0.0824560561329689,0.795,3.141592653589793,1.7318401384606608
4.232901393887349,25.327777238979653,1.6497123632279185,-0.224,3.141592653589793,1.0913087402975563
4.498582691359751,43.82254935779898,1.6532336050185663,-0.13,3.141592653589793,1.3569900377699575
4.142244113611605,20.400926932569053,2.251130301054476,-0.175,3.141592653589793,1.0006514600218122
4.117034934489112,20.10905508867247,1.6942953085520536,-0.184,3.141592653589793,0.9754422808993192
4.091940103115649,19.98773223467895,1.746233182216688,-0.199,3.141592653589793,0.9503474495258556
3.9999520712576384,13.876053137828864,2.071338017205962,-0.168,3.141592653589793,0.8583594176678453
4.115407393529003,29.93166097630877,0.4503172174598227,1.5,3.141592653589793,0.9738147399392104
4.7048099462545405,59.932224506102834,1.901151032380511,0.077,3.141592653589793,1.5632172926647474
3.8019827709313687,9.718008154195608,1.9893411972984945,-0.24,3.141592653589793,0.6603901173415756
4.006022593702642,42.72625398355585,1.9317930707675173,0.001,3.141592653589793,0.8644299401128492
3.7202232475740966,12.7287866568641,-1.435865480956149,0.009,3.141592653589793,0.5786305939843035
3.6020349610088416,2.020906543725153,1.508174119835481,-0.211,3.141592653589793,0.4604423074190484
3.57829352007002,5.100117523641573,1.8329918561342693,0.671,3.141592653589793,0.4367008664802267
3.5067329612298983,3.1529774664881223,2.4527379707253067,-0.083,3.141592653589793,0.3651403076401052
3.872427744317835,62.378687395550905,1.5868400731266905,0.034,3.141592653589793,0.7308350907280423
3.591838602745589,37.57916396542433,0.4098882570541306,0.432,3.141592653589793,0.4502459491557959
3.739255132257113,59.78767116659405,1.1635355335750857,0.991,3.141592653589793,0.5976624786673197
3.0111900576089496,25.997329188629603,1.9999569721808463,1.44,3.141592653589793,-0.1304025959808434
2.725789922501791,44.84062288738972,1.3631609854006828,-0.087,3.141592653589793,-0.4158027310880019
2.598192657238113,51.639448664353246,2.018720240013414,1.128,3.141592653589793,-0.5433999963516802
1.278086180702991,72.9031953906527,2.348631755685211,0.033,3.141592653589793,-1.863506472886802
0.9604005606430568,72.65516708892805,1.8155046909770416,1.061,3.141592653589793,-2.1811920929467363
2.170746823748651,38.01897270270249,2.1448044832158457,0.09,3.141592653589793,-0.9708458298411422
1.311990637840701,65.02921373504833,2.41936335756769,0.044,3.141592653589793,-1.829602015749092
1.1166927310590244,57.83283761224316,1.763744261405643,-0.022,3.141592653589793,-2.0248999225307687
1.088314374374714,53.56808373161898,2.239540625746528,0.057,3.141592653589793,-2.053278279215079
2.0233387999805776,3.8123546750129793,0.9883479422321751,-0.235,3.141592653589793,-1.1182538536092157
1.1653218774718352,47.50733880621642,1.858620216831793,-0.099,3.141592653589793,-1.9762707761179577
1.5311660296748943,21.87917677264169,-0.0403276508756953,1.239,3.141592653589793,-1.6104266239148988
1.3381896933767852,23.95203415178859,2.356731971325216,0.966,3.141592653589793,-1.803402960213008
0.4696678624009718,52.64490794344072,2.078992657944531,1.465,3.141592653589793,-2.6719247911888213
1.1785985405041663,16.911194720647284,2.229657159518825,0.032,3.141592653589793,-1.9629941130856268
0.5100630959229832,23.1369475482136,2.2424377203039896,1.521,3.141592653589793,-2.63152955766681
0.4815098392601728,8.693992190519952,0.0391057912995526,-0.001,3.141592653589793,-2.66008281432962
0.1286721397720813,5.6646825627014055,2.2356567125178404,0.673,3.141592653589793,-3.012920513817712
0.0605004317614035,10.4266056064314,1.253170489310273,0.092,3.141592653589793,-3.0810922218283894
6.243799275465216,27.71438133493252,2.4520590029042992,0.257,3.141592653589793,3.102206621875423
