id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,magnitude,absmag,spect,colour,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
4417,4427.0,5394.0,264.0,,27Gam Cas,Cih,0.945143,60.71674,168.3502,25.65,-3.82,-7.0,2.15,-3.981,B0IV:evar,-0.046,79.836717,20.168018,146.837047,-5.89e-06,2.01e-05,-7.77e-06,0.2474379511037043,1.0597070289510324,1.24355e-07,-1.85199e-08,Gam,27.0,Cas,1,4417,,3407.218616593573,Gam,2.173,2.133
3172,3179.0,3712.0,168.0,,18Alp Cas,Schedar,0.675116,56.537331,69.979,50.36,-32.17,-4.0,2.24,-1.985,K0II-IIIvar,1.17,37.984817,6.784483,58.379619,3.74e-06,1.802e-05,-9.43e-06,0.1767448813314833,0.9867625763100912,2.44152e-07,-1.55965e-07,Alp,18.0,Cas,1,3172,,542.0008904016238,Alp,2.25,2.23
744,746.0,432.0,21.0,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,1.681e-05,4.329e-05,2.39e-06,0.0400258528303232,1.0323584043676326,2.53747e-06,-8.74701e-07,Bet,11.0,Cas,1,744,,30.06076302628229,Bet,2.303,2.263
6672,6686.0,8538.0,403.0,,37Del Cas,Ruchbah,1.430216,60.235283,30.4785,297.24,-49.49,7.0,2.66,0.24,A5Vv SB,0.16,14.082378,5.53413,26.457567,-6.85e-06,4.45e-05,2.58e-06,0.3744295872766107,1.0513040155749624,1.44106e-06,-2.39934e-07,Del,37.0,Cas,1,6672,,69.82324040771711,Del,2.666,2.656
8867,8886.0,11415.0,542.0,,45Eps Cas,Segin,1.906584,63.670101,126.2626,31.98,-18.66,-8.0,3.35,-2.156,B2pvar,-0.15,49.169644,26.806887,113.163436,-3.57e-06,2.035e-05,-1.24e-05,0.4991424996298816,1.111252904,1.55043e-07,-9.04662e-08,Eps,45.0,Cas,1,8867,,634.4537958,,,
